entity_id,state,last_changed
sensor.exit_beamsensor_high_sigma,514,2024-12-28T23:30:00.000Z
sensor.exit_beamsensor_high_sigma,499,2024-12-28T23:30:02.615Z
sensor.exit_beamsensor_high_sigma,520,2024-12-28T23:30:15.580Z
sensor.exit_beamsensor_high_sigma,496,2024-12-28T23:30:27.261Z
sensor.exit_beamsensor_high_sigma,499,2024-12-28T23:30:33.981Z
sensor.exit_beamsensor_high_sigma,612,2024-12-28T23:30:41.799Z
sensor.exit_beamsensor_high_sigma,654,2024-12-28T23:31:02.766Z
sensor.exit_beamsensor_high_sigma,667,2024-12-28T23:31:11.337Z
sensor.exit_beamsensor_high_sigma,666,2024-12-28T23:31:20.958Z
sensor.exit_beamsensor_high_sigma,596,2024-12-28T23:31:31.143Z
sensor.exit_beamsensor_high_sigma,630,2024-12-28T23:31:43.554Z
sensor.exit_beamsensor_high_sigma,657,2024-12-28T23:31:48.382Z
sensor.exit_beamsensor_high_sigma,679,2024-12-28T23:32:01.607Z
sensor.exit_beamsensor_high_sigma,689,2024-12-28T23:32:14.014Z
sensor.exit_beamsensor_high_sigma,673,2024-12-28T23:32:20.779Z
sensor.exit_beamsensor_high_sigma,364,2024-12-28T23:32:31.790Z
sensor.exit_beamsensor_high_sigma,340,2024-12-28T23:32:36.534Z
sensor.exit_beamsensor_high_sigma,357,2024-12-28T23:32:44.831Z
sensor.exit_beamsensor_high_sigma,370,2024-12-28T23:32:54.282Z
sensor.exit_beamsensor_high_sigma,250,2024-12-28T23:32:59.460Z
sensor.exit_beamsensor_high_sigma,266,2024-12-28T23:33:13.024Z
sensor.exit_beamsensor_high_sigma,273,2024-12-28T23:33:35.431Z
sensor.exit_beamsensor_high_sigma,407,2024-12-28T23:33:41.109Z
sensor.exit_beamsensor_high_sigma,696,2024-12-28T23:34:04.995Z
sensor.exit_beamsensor_high_sigma,692,2024-12-28T23:34:13.663Z
sensor.exit_beamsensor_high_sigma,685,2024-12-28T23:34:19.677Z
sensor.exit_beamsensor_high_sigma,812,2024-12-28T23:34:36.160Z
sensor.exit_beamsensor_high_sigma,752,2024-12-28T23:34:47.694Z
sensor.exit_beamsensor_high_sigma,746,2024-12-28T23:34:55.166Z
sensor.exit_beamsensor_high_sigma,748,2024-12-28T23:35:01.026Z
sensor.exit_beamsensor_high_sigma,778,2024-12-28T23:35:07.293Z
sensor.exit_beamsensor_high_sigma,760,2024-12-28T23:35:20.701Z
sensor.exit_beamsensor_high_sigma,748,2024-12-28T23:35:27.145Z
sensor.exit_beamsensor_high_sigma,564,2024-12-28T23:35:41.309Z
sensor.exit_beamsensor_high_sigma,584,2024-12-28T23:35:50.680Z
sensor.exit_beamsensor_high_sigma,728,2024-12-28T23:36:08.754Z
sensor.exit_beamsensor_high_sigma,707,2024-12-28T23:36:20.061Z
sensor.exit_beamsensor_high_sigma,710,2024-12-28T23:36:29.419Z
sensor.exit_beamsensor_high_sigma,799,2024-12-28T23:36:37.147Z
sensor.exit_beamsensor_high_sigma,737,2024-12-28T23:36:46.817Z
sensor.exit_beamsensor_high_sigma,642,2024-12-28T23:37:05.519Z
sensor.exit_beamsensor_high_sigma,527,2024-12-28T23:37:12.435Z
sensor.exit_beamsensor_high_sigma,476,2024-12-28T23:37:19.593Z
sensor.exit_beamsensor_high_sigma,541,2024-12-28T23:37:26.645Z
sensor.exit_beamsensor_high_sigma,561,2024-12-28T23:37:34.778Z
sensor.exit_beamsensor_high_sigma,525,2024-12-28T23:38:01.583Z
sensor.exit_beamsensor_high_sigma,590,2024-12-28T23:38:20.287Z
sensor.exit_beamsensor_high_sigma,633,2024-12-28T23:38:26.180Z
sensor.exit_beamsensor_high_sigma,708,2024-12-28T23:38:36.010Z
sensor.exit_beamsensor_high_sigma,746,2024-12-28T23:38:57.281Z
sensor.exit_beamsensor_high_sigma,730,2024-12-28T23:39:08.261Z
sensor.exit_beamsensor_high_sigma,756,2024-12-28T23:39:16.608Z
sensor.exit_beamsensor_high_sigma,858,2024-12-28T23:39:25.329Z
sensor.exit_beamsensor_high_sigma,912,2024-12-28T23:39:29.607Z
sensor.exit_beamsensor_high_sigma,1176,2024-12-28T23:39:34.588Z
sensor.exit_beamsensor_high_sigma,1131,2024-12-28T23:39:42.139Z
sensor.exit_beamsensor_high_sigma,1148,2024-12-28T23:39:50.630Z
sensor.exit_beamsensor_high_sigma,1159,2024-12-28T23:40:02.108Z
