entity_id,state,last_changed
sensor.exit_beamsensor_min_ms,1870,2024-12-28T23:30:00.000Z
sensor.exit_beamsensor_min_ms,2515,2024-12-28T23:30:15.582Z
sensor.exit_beamsensor_min_ms,2571,2024-12-28T23:30:27.269Z
sensor.exit_beamsensor_min_ms,2928,2024-12-28T23:30:33.982Z
sensor.exit_beamsensor_min_ms,1937,2024-12-28T23:31:02.773Z
sensor.exit_beamsensor_min_ms,2347,2024-12-28T23:31:31.150Z
sensor.exit_beamsensor_min_ms,2156,2024-12-28T23:31:43.561Z
sensor.exit_beamsensor_min_ms,2033,2024-12-28T23:32:01.615Z
sensor.exit_beamsensor_min_ms,2179,2024-12-28T23:32:31.797Z
sensor.exit_beamsensor_min_ms,2196,2024-12-28T23:32:36.541Z
sensor.exit_beamsensor_min_ms,1768,2024-12-28T23:32:54.289Z
sensor.exit_beamsensor_min_ms,1935,2024-12-28T23:33:26.970Z
sensor.exit_beamsensor_min_ms,1946,2024-12-28T23:33:41.118Z
sensor.exit_beamsensor_min_ms,2628,2024-12-28T23:34:13.664Z
sensor.exit_beamsensor_min_ms,2586,2024-12-28T23:34:19.684Z
sensor.exit_beamsensor_min_ms,2456,2024-12-28T23:34:55.173Z
sensor.exit_beamsensor_min_ms,1916,2024-12-28T23:35:01.034Z
sensor.exit_beamsensor_min_ms,1912,2024-12-28T23:35:07.301Z
sensor.exit_beamsensor_min_ms,2125,2024-12-28T23:35:41.317Z
sensor.exit_beamsensor_min_ms,2526,2024-12-28T23:35:50.687Z
sensor.exit_beamsensor_min_ms,2592,2024-12-28T23:36:08.761Z
sensor.exit_beamsensor_min_ms,3006,2024-12-28T23:36:20.063Z
sensor.exit_beamsensor_min_ms,2927,2024-12-28T23:36:29.426Z
sensor.exit_beamsensor_min_ms,3381,2024-12-28T23:37:05.527Z
sensor.exit_beamsensor_min_ms,3115,2024-12-28T23:37:12.436Z
sensor.exit_beamsensor_min_ms,2935,2024-12-28T23:37:19.601Z
sensor.exit_beamsensor_min_ms,2253,2024-12-28T23:37:26.646Z
sensor.exit_beamsensor_min_ms,2754,2024-12-28T23:38:20.288Z
sensor.exit_beamsensor_min_ms,2486,2024-12-28T23:38:26.188Z
sensor.exit_beamsensor_min_ms,1863,2024-12-28T23:38:36.018Z
sensor.exit_beamsensor_min_ms,2720,2024-12-28T23:39:16.616Z
sensor.exit_beamsensor_min_ms,1747,2024-12-28T23:39:25.337Z
sensor.exit_beamsensor_min_ms,520,2024-12-28T23:39:34.596Z
sensor.exit_beamsensor_min_ms,418,2024-12-28T23:39:50.637Z
sensor.exit_beamsensor_min_ms,1538,2024-12-28T23:40:19.520Z
sensor.exit_beamsensor_min_ms,1600,2024-12-28T23:40:31.856Z
sensor.exit_beamsensor_min_ms,2661,2024-12-28T23:40:45.097Z
sensor.exit_beamsensor_min_ms,2454,2024-12-28T23:40:54.664Z
sensor.exit_beamsensor_min_ms,2104,2024-12-28T23:41:02.986Z
sensor.exit_beamsensor_min_ms,1885,2024-12-28T23:41:16.146Z
sensor.exit_beamsensor_min_ms,1600,2024-12-28T23:41:31.929Z
