Date,Hr 00,Hr 01,Hr 02,Hr 03,Hr 04,Hr 05,Hr 06,Hr 07,Hr 08,Hr 09,Hr 10,Hr 11,Hr 12,Hr 13,Hr 14,Hr 15,Hr 16,Hr 17,Hr 18,Hr 19,Hr 20,Hr 21,Hr 22,Hr 23
2024-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,167,142,61,13,0,0
2024-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,21,2,0,0
2024-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,8,0,0,0
2024-12-19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68,68,57,25,5,4,0
2024-12-20,0,0,0,0,0,0,0,0,0,0,0,3,11,4,4,0,5,178,271,286,227,42,1,0
2024-12-21,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,4,197,288,273,270,149,2,0
2024-12-22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,191,269,273,295,128,3,0
2024-12-23,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,9,195,244,215,141,22,0,0
2024-12-24,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
2024-12-25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,196,275,286,215,34,0,0
2024-12-26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-28,0,0,0,0,0,0,0,0,0,43,14,8,0,1,1,0,5,220,302,287,250,26,0,0
2024-12-29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,180,188,237,134,11,0,0
2024-12-30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,7,185,233,272,268,18,0,0
2024-12-31,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,208,276,186,133,14,0,0
2025-01-01,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
